lon,lat,PGA
119.99724,21.6662,0.002859335
119.9973,21.75614,0.002902145
119.99736,21.84607,0.003913295
119.99742,21.936,0.00413762
119.99748,22.02593,0.004313005
119.99755,22.11587,0.004216995
119.99761,22.2058,0.005238135
119.99767,22.29573,0.00642925
119.99773,22.38566,0.007216845
119.9978,22.47559,0.006466555
119.99786,22.56553,0.0139007
119.99792,22.65546,0.01072435
119.99799,22.74539,0.01548805
119.99805,22.83532,0.01960595
119.99812,22.92526,0.0341882
119.99818,23.01519,0.03109165
119.99825,23.10512,0.04282515
119.99831,23.19505,0.04209795
119.99838,23.28498,0.06408355
119.99844,23.37492,0.0447242
119.99851,23.46485,0.0384419
119.99858,23.55478,0.04097145
119.99864,23.64471,0.0361789
119.99871,23.73464,0.04563865
119.99878,23.82458,0.04174055
119.99885,23.91451,0.02978675
119.99892,24.00444,0.0291944
119.99899,24.09437,0.03170695
119.99906,24.18431,0.0377602
119.99913,24.27424,0.0412783
119.9992,24.36417,0.0395561
119.99927,24.4541,0.04825555
119.99934,24.54403,0.0521676
119.99941,24.63397,0.0505523
119.99948,24.7239,0.0410516
119.99955,24.81383,0.0748386
119.99962,24.90376,0.083558
119.9997,24.99369,0.1180255
119.99977,25.08363,0.0808279
119.99984,25.17356,0.05987665
119.99991,25.26349,0.0462431
119.99999,25.35342,0.03004975
120.09401,21.6662,0.003012305
120.09413,21.75614,0.00285906
120.09425,21.84607,0.003941025
120.09437,21.936,0.00588337
120.0945,22.02593,0.006487455
120.09462,22.11587,0.004788115
120.09474,22.2058,0.00444194
120.09487,22.29573,0.006668655
120.09499,22.38566,0.006495435
120.09512,22.47559,0.0034624
120.09525,22.56553,0.0108458
120.09537,22.65546,0.00950812
120.0955,22.74539,0.0165426
120.09563,22.83532,0.02887315
120.09576,22.92526,0.04600575
120.09589,23.01519,0.045421
120.09602,23.10512,0.03952305
120.09615,23.19505,0.04245715
120.09628,23.28498,0.0508308
120.09642,23.37492,0.0469366
120.09655,23.46485,0.04411415
120.09668,23.55478,0.06300145
120.09682,23.64471,0.04616035
120.09695,23.73464,0.0474676
120.09709,23.82458,0.0426511
120.09723,23.91451,0.0217339
120.09736,24.00444,0.03198425
120.0975,24.09437,0.02468645
120.09764,24.18431,0.035767
120.09778,24.27424,0.03974225
120.09792,24.36417,0.0410628
120.09806,24.4541,0.0402207
120.0982,24.54403,0.0381007
120.09834,24.63397,0.0436566
120.09849,24.7239,0.04852385
120.09863,24.81383,0.0442824
120.09877,24.90376,0.07426025
120.09892,24.99369,0.0988073
120.09906,25.08363,0.0962856
120.09921,25.17356,0.05901855
120.09936,25.26349,0.05131765
120.09951,25.35342,0.0529839
120.19078,21.6662,0.003407535
120.19096,21.75614,0.003474075
120.19114,21.84607,0.0050282
120.19132,21.936,0.01065
