STA_Lon_X,STA_Lat_Y,PGA
119.99724,21.6662,0.0113347
119.9973,21.75614,0.01177835
119.99736,21.84607,0.01224085
119.99742,21.936,0.01195115
119.99748,22.02593,0.0136035
119.99755,22.11587,0.0132358
119.99761,22.2058,0.01386345
119.99767,22.29573,0.0125355
119.99773,22.38566,0.01216835
119.9978,22.47559,0.0135131
119.99786,22.56553,0.0149516
119.99792,22.65546,0.0176262
119.99799,22.74539,0.02116325
119.99805,22.83532,0.0266849
119.99812,22.92526,0.0392908
119.99818,23.01519,0.04406275
119.99825,23.10512,0.0517093
119.99831,23.19505,0.0511556
119.99838,23.28498,0.06789415
119.99844,23.37492,0.0582029
119.99851,23.46485,0.06330735
119.99858,23.55478,0.06119105
119.99864,23.64471,0.0612822
119.99871,23.73464,0.0614962
119.99878,23.82458,0.07030805
119.99885,23.91451,0.0662828
119.99892,24.00444,0.06586815
119.99899,24.09437,0.07400795
119.99906,24.18431,0.07483505
119.99913,24.27424,0.0708526
119.9992,24.36417,0.0869882
119.99927,24.4541,0.083846
119.99934,24.54403,0.06956255
119.99941,24.63397,0.06367435
119.99948,24.7239,0.04842465
119.99955,24.81383,0.0456248
119.99962,24.90376,0.03982435
119.9997,24.99369,0.03195895
119.99977,25.08363,0.0333035
119.99984,25.17356,0.02597325
119.99991,25.26349,0.0229217
119.99999,25.35342,0.02142705
120.09401,21.6662,0.0104716
120.09413,21.75614,0.0129623
120.09425,21.84607,0.0128612
120.09437,21.936,0.0133435
120.0945,22.02593,0.0158336
120.09462,22.11587,0.0150223
120.09474,22.2058,0.01428315
120.09487,22.29573,0.013148
120.09499,22.38566,0.0143759
120.09512,22.47559,0.01701975
120.09525,22.56553,0.0178473
120.09537,22.65546,0.02129715
120.0955,22.74539,0.03028695
120.09563,22.83532,0.0345179
120.09576,22.92526,0.05356
120.09589,23.01519,0.04919135
120.09602,23.10512,0.0535808
120.09615,23.19505,0.0599365
120.09628,23.28498,0.07613515
120.09642,23.37492,0.07654135
120.09655,23.46485,0.0814192
120.09668,23.55478,0.07924805
120.09682,23.64471,0.08852725
120.09695,23.73464,0.0735428
120.09709,23.82458,0.0719242
120.09723,23.91451,0.07013915
120.09736,24.00444,0.0776088
