STA_rank,STA_DIST
1,94.99999216
2,104.477223
3,105.4913736
4,106.626688
5,106.9835652
6,107.0640209
7,107.0914253
8,107.9854918
9,108.0608701
10,108.2561877
11,108.2683108
12,108.5261539
13,109.2465982
14,109.7579008
15,110.0722926
16,110.1148302
17,110.6075245
18,110.7016189
19,111.7913139
20,111.799383
21,112.4268138
22,112.8017987
23,113.0460466
24,113.8061513
25,113.9532657
26,114.1914942
27,114.2175879
28,114.5531012
29,114.6570265
30,114.9629752
31,115.0498166
32,115.1551096
33,115.9015416
34,116.486394
35,116.8116096
36,117.2445222
37,117.892866
38,118.083803
39,118.1004972
40,118.3787348
41,118.5298138
42,118.5761924
43,119.2215911
44,119.2835198
45,119.7486405
46,119.9272755
47,119.9625356
48,119.9683837
49,120.1414584
50,120.3007625
51,120.6477917
52,121.0010638
53,121.5616752
54,121.5681957
55,121.6650098
56,123.2844102
57,124.9271642
58,125.8533977
59,126.3478833
60,126.6786541
61,126.7130303
62,126.7883534
63,126.8480005
64,126.9168236
65,127.0835033
66,127.2527297
67,127.3627289
68,127.7280197
69,127.7369001
70,127.9058944
71,128.843524
72,129.1550126
73,129.3568682
74,129.4764786
75,129.8170637
76,129.9828526
77,130.4583367
78,130.805604
79,131.9870904
80,132.9247073
81,133.7470598
82,133.8778999
83,134.4148936
84,134.5100174
85,135.0322122
86,135.1292738
87,135.2513097
88,135.3787276
89,135.4093041
90,136.034581
91,136.0761612
92,136.3220352
93,136.4971217
94,136.5202486
95,137.1239584
96,137.2836629
97,137.9239087
98,138.3505685
99,138.7945625
100,139.2282931
101,140.2600279
102,140.7728645
103,140.8901836
104,140.9076117
105,141.2820173
106,141.8741978
107,142.3652623
108,142.8003108
109,142.9322417
110,142.9689355
111,144.2949297
112,145.1584138
113,145.6084826
114,145.9199803
115,146.8577293
116,147.0168016
117,147.8449129
118,149.1825373
119,149.5580755
120,150.156116
121,151.1043864
122,151.4922347
123,152.1930253
124,152.4538566
125,154.1035958
126,154.2551403
127,154.3296929
128,155.2487807
129,155.5258
130,156.3395655
131,157.0905012
132,157.6314743
133,157.8035294
134,159.6232318
135,160.6032092
136,160.6302357
137,161.1878915
138,161.3776574
139,161.9040519
140,162.1643755
141,164.2782503
142,165.5113074
143,165.9705538
144,166.1142202
145,166.8087347
146,167.7929204
147,168.1142791
148,168.4397352
149,168.5334693
150,168.9440615
151,170.6577612
152,171.2569735
153,171.607689
154,171.751727
155,172.2913762
156,172.4551179
157,172.500698
158,173.5818728
159,174.322559
160,174.3352588
161,174.3860524
162,174.8032145
163,175.4079182
164,176.3391785
165,177.0297733
166,177.3798656
167,177.5755169
168,177.6396009
169,179.4896674
170,179.5437815
171,179.782178
172,179.8021244
173,180.3590057
174,180.6662317
175,181.3745844
176,181.6084086
177,181.7064185
178,182.2610595
179,182.3499802
180,182.9298224
181,183.0491663
182,183.3694209
183,183.4029979
184,183.9375958
185,184.2475076
186,184.540188
187,184.5756941
188,185.0362989
189,185.2155565
190,185.511108
191,185.5146739
192,185.5851142
193,185.9089677
194,185.9937992
195,186.1342927
196,186.1834597
197,186.3658354
198,186.3855039
199,186.6080739
200,186.9276196
201,186.9823478
202,187.7748576
203,188.5016098
204,188.654956
205,189.4404212
