#,,"generated_by='OpenQuake engine 3.17.0', start_date='2023-07-19T06:18:45', checksum=877104236"
site_id,lon,lat
0,119.99724,21.66620
1,119.99730,21.75614
2,119.99736,21.84607
3,119.99742,21.93600
4,119.99748,22.02593
5,119.99755,22.11587
6,119.99761,22.20580
7,119.99767,22.29573
8,119.99773,22.38566
9,119.99780,22.47559
10,119.99786,22.56553
11,119.99792,22.65546
12,119.99799,22.74539
13,119.99805,22.83532
14,119.99812,22.92526
15,119.99818,23.01519
16,119.99825,23.10512
17,119.99831,23.19505
18,119.99838,23.28498
19,119.99844,23.37492
20,119.99851,23.46485
21,119.99858,23.55478
22,119.99864,23.64471
23,119.99871,23.73464
24,119.99878,23.82458
25,119.99885,23.91451
26,119.99892,24.00444
27,119.99899,24.09437
28,119.99906,24.18431
29,119.99913,24.27424
30,119.99920,24.36417
31,119.99927,24.45410
32,119.99934,24.54403
33,119.99941,24.63397
34,119.99948,24.72390
35,119.99955,24.81383
36,119.99962,24.90376
37,119.99970,24.99369
38,119.99977,25.08363
39,119.99984,25.17356
40,119.99991,25.26349
41,119.99999,25.35342
42,120.09401,21.66620
43,120.09413,21.75614
44,120.09425,21.84607
45,120.09437,21.93600
46,120.09450,22.02593
47,120.09462,22.11587
48,120.09474,22.20580
49,120.09487,22.29573
50,120.09499,22.38566
51,120.09512,22.47559
52,120.09525,22.56553
53,120.09537,22.65546
54,120.09550,22.74539
55,120.09563,22.83532
56,120.09576,22.92526
57,120.09589,23.01519
58,120.09602,23.10512
59,120.09615,23.19505
60,120.09628,23.28498
61,120.09642,23.37492
62,120.09655,23.46485
63,120.09668,23.55478
64,120.09682,23.64471
65,120.09695,23.73464
66,120.09709,23.82458
67,120.09723,23.91451
68,120.09736,24.00444
69,120.09750,24.09437
70,120.09764,24.18431
71,120.09778,24.27424
72,120.09792,24.36417
73,120.09806,24.45410
74,120.09820,24.54403
75,120.09834,24.63397
76,120.09849,24.72390
77,120.09863,24.81383
78,120.09877,24.90376
79,120.09892,24.99369
80,120.09906,25.08363
81,120.09921,25.17356
82,120.09936,25.26349
83,120.09951,25.35342
84,120.19078,21.66620
85,120.19096,21.75614
86,120.19114,21.84607
87,120.19132,21.93600
88,120.19151,22.02593
89,120.19169,22.11587
90,120.19188,22.20580
91,120.19207,22.29573
92,120.19226,22.38566
93,120.19245,22.47559
94,120.19264,22.56553
95,120.19283,22.65546
96,120.19302,22.74539
97,120.19321,22.83532
98,120.19341,22.92526
99,120.19360,23.01519
100,120.19380,23.10512
101,120.19399,23.19505
102,120.19419,23.28498
103,120.19439,23.37492
104,120.19459,23.46485
105,120.19479,23.55478
106,120.19499,23.64471
107,120.19520,23.73464
108,120.19540,23.82458
109,120.19560,23.91451
110,120.19581,24.00444
111,120.19602,24.09437
112,120.19623,24.18431
113,120.19643,24.27424
114,120.19664,24.36417
115,120.19686,24.45410
116,120.19707,24.54403
117,120.19728,24.63397
118,120.19749,24.72390
119,120.19771,24.81383
120,120.19793,24.90376
121,120.19814,24.99369
122,120.19836,25.08363
123,120.19858,25.17356
124,120.19880,25.26349
125,120.19902,25.35342
126,120.28755,21.66620
127,120.28779,21.75614
128,120.28803,21.84607
129,120.28828,21.93600
130,120.28852,22.02593
131,120.28877,22.11587
132,120.28902,22.20580
133,120.28927,22.29573
134,120.28952,22.38566
135,120.28977,22.47559
136,120.29002,22.56553
137,120.29028,22.65546
138,120.29053,22.74539
139,120.29079,22.83532
140,120.29105,22.92526
141,120.29131,23.01519
142,120.29157,23.10512
143,120.29183,23.19505
144,120.29210,23.28498
145,120.29236,23.37492
146,120.29263,23.46485
147,120.29290,23.55478
148,120.29317,23.64471
149,120.29344,23.73464
150,120.29371,23.82458
151,120.29398,23.91451
152,120.29426,24.00444
153,120.29453,24.09437
154,120.29481,24.18431
155,120.29509,24.27424
156,120.29537,24.36417
157,120.29565,24.45410
158,120.29593,24.54403
159,120.29622,24.63397
160,120.29650,24.72390
161,120.29679,24.81383
162,120.29708,24.90376
163,120.29737,24.99369
164,120.29766,25.08363
165,120.29795,25.17356
166,120.29824,25.26349
167,120.29854,25.35342
168,120.38432,21.66620
169,120.38462,21.75614
170,120.38492,21.84607
171,120.38523,21.93600
172,120.38553,22.02593
173,120.38584,22.11587
174,120.38615,22.20580
175,120.38647,22.29573
176,120.38678,22.38566
177,120.38709,22.47559
178,120.38741,22.56553
179,120.38773,22.65546
180,120.38805,22.74539
181,120.38837,22.83532
182,120.38869,22.92526
183,120.38902,23.01519
184,120.38935,23.10512
185,120.38967,23.19505
186,120.39000,23.28498
187,120.39034,23.37492
188,120.39067,23.46485
189,120.39100,23.55478
190,120.39134,23.64471
191,120.39168,23.73464
192,120.39202,23.82458
193,120.39236,23.91451
194,120.39270,24.00444
195,120.39305,24.09437
196,120.39339,24.18431
197,120.39374,24.27424
198,120.39409,24.36417
199,120.39444,24.45410
200,120.39480,24.54403
201,120.39515,24.63397
202,120.39551,24.72390
203,120.39587,24.81383
204,120.39623,24.90376
205,120.39659,24.99369
206,120.39696,25.08363
207,120.39732,25.17356
208,120.39769,25.26349
209,120.39806,25.35342
210,120.48108,21.66620
211,120.48145,21.75614
212,120.48181,21.84607
213,120.48218,21.93600
214,120.48255,22.02593
215,120.48292,22.11587
216,120.48329,22.20580
217,120.48366,22.29573
218,120.48404,22.38566
219,120.48442,22.47559
220,120.48480,22.56553
221,120.48518,22.65546
222,120.48557,22.74539
223,120.48595,22.83532
224,120.48634,22.92526
225,120.48673,23.01519
226,120.48712,23.10512
227,120.48752,23.19505
228,120.48791,23.28498
229,120.48831,23.37492
230,120.48871,23.46485
231,120.48911,23.55478
232,120.48951,23.64471
233,120.48992,23.73464
234,120.49033,23.82458
235,120.49074,23.91451
236,120.49115,24.00444
237,120.49156,24.09437
238,120.49198,24.18431
239,120.49240,24.27424
240,120.49282,24.36417
241,120.49324,24.45410
